title,genre,type,box-number,id,date-mostly-wrong
MERCURY RISING,Action,DVD,1,30098,
STORM CATCHER,Action,DVD,1,30114,
BLACK DOG,Action,DVD,1,30196,
GREEN ICE,Action,DVD,1,30275,
PROTECTOR,Action,DVD,1,30350,
THE KILLER ELITE,Action,DVD,1,30372,
DIAMOND DOGS,Action,DVD,1,30411,
THE SIEGE,Action,DVD,1,30445,
GROUND CONTROL,Action,DVD,1,30451,
WRONG SIDE OF TOWN,Action,DVD,1,30493,
CUTAWAY,Action,DVD,1,30508,
HERO WANTED,Action,DVD,1,30514,
PAYBACK,Action,DVD,1,30562,
THE CORRUPTOR,Action,DVD,1,30611,
DESERT HEAT,Action,DVD,1,30619,
DESTINATION VEGAS,Action,DVD,1,30689,
SURVIVOR,Action,DVD,1,30712,
MADE MEN,Action,DVD,1,30736,
THE PACKAGE,Action,DVD,1,30750,
THICKER THAN WATER,Action,DVD,1,30756,
SUBSTITUTE 1 & 3,Action,DVD,1,30760,
IN TOO DEEP,Action,DVD,1,30785,
DESERT THUNDER,Action,DVD,1,30789,
ATTRITION,Action,DVD,1,30798,
CHILL FACTOR,Action,DVD,1,30828,
PUPS,Action,DVD,1,30955,
REINDEER GAMES,Action,DVD,1,30970,
NO CODE OF CONDUCT,Action,DVD,1,31087,
NO WAY BACK,Action,DVD,1,31149,
THE ART OF WAR,Action,DVD,1,31158,
THE INSPECTORS,Action,DVD,1,31190,
A BETTER WAY TO DIE,Action,DVD,1,31192,
44 MINUTES,Action,DVD,1,31218,
XCHANGE,Action,DVD,1,31298,
KILL SHOT,Action,DVD,1,31301,
VERTICAL LIMIT,Action,DVD,1,31384,
ALL REVVED UP,Action,DVD,1,31437,
PROXIMITY,Action,DVD,1,31564,
SHOPPING,Action,DVD,1,31578,
3000 MILES TO GRACELAND,Action,DVD,1,31592,
15 MINUTES,Action,DVD,1,31610,
THE LAST WARRIOR,Action,DVD,1,31625,
EXTREME DAYS,Action,DVD,1,31655,
EXIT WOUNDS,Action,DVD,1,31660,
LUCK OF THE DRAW,Action,DVD,1,31704,
DRIVEN,Action,DVD,1,31705,
L.A.P.D.,Action,DVD,1,31796,
AN EYE FOR AN EYE,Action,DVD,1,31892,
